adduser 3.134
libapparmor1:amd64 3.0.8-3
libapt-pkg6.0:amd64 2.6.1
libarchive-zip-perl 1.68-1
libargon2-1:amd64 0~20171227-0.3+deb12u1
libasan8:amd64 12.2.0-14+deb12u1
libasound2:amd64 1.2.8-1+b1
libasound2-data 1.2.8-1
libaspell15:amd64 0.60.8-4+b1
libassuan0:amd64 2.5.5-5
libatomic1:amd64 12.2.0-14+deb12u1
libattr1:amd64 1:2.5.1-4
libaudit-common 1:3.0.9-1
libaudit1:amd64 1:3.0.9-1
libavif15:amd64 0.11.1-1+deb12u1
libbinutils:amd64 2.40-2
libblkid1:amd64 2.38.1-5+deb12u1
libboost-dev:amd64 1.74.0.3
libboost-program-options-dev:amd64 1.74.0.3
libboost-program-options1.74-dev:amd64 1.74.0+ds1-21
libboost-program-options1.74.0:amd64 1.74.0+ds1-21
libboost1.74-dev:amd64 1.74.0+ds1-21
libbpf1:amd64 1:1.1.0-1
libbrotli1:amd64 1.0.9-2+b6
libbsd0:amd64 0.11.7-2
libbz2-1.0:amd64 1.0.8-5+b1
libc-bin 2.36-9+deb12u13
libc-dev-bin 2.36-9+deb12u13
libc-devtools 2.36-9+deb12u13
libc-l10n 2.36-9+deb12u13
libc6:amd64 2.36-9+deb12u13
libc6-dev:amd64 2.36-9+deb12u13
libcap-ng0:amd64 0.8.3-1+b3
libcap2:amd64 1:2.66-4
libcap2-bin 1:2.66-4
libcbor0.8:amd64 0.8.0-2+b1
libcc1-0:amd64 12.2.0-14+deb12u1
libcom-err2:amd64 1.47.0-2
libcrypt-dev:amd64 1:4.4.33-2
libcrypt1:amd64 1:4.4.33-2
libcryptsetup12:amd64 2:2.6.1-4~deb12u2
libctf-nobfd0:amd64 2.40-2
libctf0:amd64 2.40-2
libcurl3-gnutls:amd64 7.88.1-10+deb12u7
libdaemon0:amd64 0.14-7.1
libdav1d6:amd64 1.0.0-2+deb12u1
libdb5.3:amd64 5.3.28+dfsg2-1
libdbus-1-3:amd64 1.14.10-1~deb12u1
libde265-0:amd64 1.0.11-1+deb12u2
libdebconfclient0:amd64 0.270
libdebhelper-perl 13.11.4
libdeflate0:amd64 1.14-1
libdevmapper1.02.1:amd64 2:1.02.185-2
libdiscover2 2.1.2-10
libdpkg-perl 1.21.22
libdw1:amd64 0.188-2.1
libedit2:amd64 3.1-20221030-2
libefiboot1:amd64 37-6
libefivar1:amd64 37-6
libelf1:amd64 0.188-2.1
libexpat1:amd64 2.5.0-1
libext2fs2:amd64 1.47.0-2
libfakeroot:amd64 1.31-1.2
libfdisk1:amd64 2.38.1-5+deb12u1
libffi8:amd64 3.4.4-1
libfido2-1:amd64 1.12.0-2+b1
libfile-fcntllock-perl 0.22-4+b1
libfile-stripnondeterminism-perl 1.13.1-1
libfontconfig1:amd64 2.14.1-4
libfreetype6:amd64 2.12.1+dfsg-5+deb12u3
libfstrm0:amd64 0.6.1-1
libfuse2:amd64 2.9.9-6+b1
libgav1-1:amd64 0.18.0-1+b1
libgcc-12-dev:amd64 12.2.0-14+deb12u1
libgcc-s1:amd64 12.2.0-14+deb12u1
libgcrypt20:amd64 1.10.1-3
libgd3:amd64 2.3.3-9
libgdbm-compat4:amd64 1.23-3
libgdbm6:amd64 1.23-3
libglib2.0-0:amd64 2.74.6-2+deb12u3
libglib2.0-data 2.74.6-2+deb12u3
libgmp10:amd64 2:6.2.1+dfsg1-1.1
libgnutls30:amd64 3.7.9-2+deb12u3
libgomp1:amd64 12.2.0-14+deb12u1
libgpg-error0:amd64 1.46-1
libgprofng0:amd64 2.40-2
libgssapi-krb5-2:amd64 1.20.1-2+deb12u2
libheif1:amd64 1.15.1-1+deb12u1
libhogweed6:amd64 3.8.1-2
libicu72:amd64 72.1-3
libidn2-0:amd64 2.3.3-1+b1
libip4tc2:amd64 1.8.9-2
libisl23:amd64 0.25-1.1
libitm1:amd64 12.2.0-14+deb12u1
libiw30:amd64 30~pre9-14
libjansson4:amd64 2.14-2
libjbig0:amd64 2.1-6.1
libjemalloc2:amd64 5.3.0-1
libjpeg62-turbo:amd64 1:2.1.5-2
libjson-c5:amd64 0.16-2
libk5crypto3:amd64 1.20.1-2+deb12u2
libkeyutils1:amd64 1.6.3-2
libklibc:amd64 2.0.12-1
libkmod2:amd64 30+20221128-1
libkrb5-3:amd64 1.20.1-2+deb12u2
libkrb5support0:amd64 1.20.1-2+deb12u2
libksba8:amd64 1.6.3-2
libldap-2.5-0:amd64 2.5.13+dfsg-5
libldap-common 2.5.13+dfsg-5
liblerc4:amd64 4.0.0+ds-2
liblmdb0:amd64 0.9.24-1
liblocale-gettext-perl 1.07-5
liblockfile-bin 1.17-1+b1
liblsan0:amd64 12.2.0-14+deb12u1
liblz4-1:amd64 1.9.4-1
liblzma5:amd64 5.4.1-0.2
libmagic-mgc 1:5.44-3
libmagic1:amd64 1:5.44-3
libmaxminddb0:amd64 1.7.1-1
libmd0:amd64 1.0.4-2
libmnl0:amd64 1.0.4-3
libmount1:amd64 2.38.1-5+deb12u1
libmpc3:amd64 1.3.1-1
libmpfr6:amd64 4.2.0-1
libncurses-dev:amd64 6.4-4
libncurses5-dev:amd64 6.4-4
libncurses6:amd64 6.4-4
libncursesw6:amd64 6.4-4
libnettle8:amd64 3.8.1-2
libnewt0.52:amd64 0.52.23-1+b1
libnftables1:amd64 1.0.6-2+deb12u2
libnftnl11:amd64 1.2.4-2
libnghttp2-14:amd64 1.52.0-1+deb12u1
libnl-3-200:amd64 3.7.0-0.2+b1
libnl-genl-3-200:amd64 3.7.0-0.2+b1
libnl-route-3-200:amd64 3.7.0-0.2+b1
libnpth0:amd64 1.6-3
libnsl-dev:amd64 1.3.0-2
libnsl2:amd64 1.3.0-2
libnss-systemd:amd64 252.30-1~deb12u2
libnuma1:amd64 2.0.16-1
libp11-kit0:amd64 0.24.1-2
libpam-modules:amd64 1.5.2-6+deb12u1
libpam-modules-bin 1.5.2-6+deb12u1
libpam-runtime 1.5.2-6+deb12u1
libpam-systemd:amd64 252.30-1~deb12u2
libpam0g:amd64 1.5.2-6+deb12u1
libpci3:amd64 1:3.9.0-4
libpcre2-8-0:amd64 10.42-1
libpcsclite1:amd64 1.9.9-2
libperl5.36:amd64 5.36.0-7+deb12u1
libpipeline1:amd64 1.5.7-1
libpng16-16:amd64 1.6.39-2
libpopt0:amd64 1.19+dfsg-1
libproc2-0:amd64 2:4.0.2-3
libprotobuf-c1:amd64 1.4.1-1+b1
libpsl5:amd64 0.21.2-1
libpython3-stdlib:amd64 3.11.2-1+b1
libpython3.11-minimal:amd64 3.11.2-6+deb12u3
libpython3.11-stdlib:amd64 3.11.2-6+deb12u3
libquadmath0:amd64 12.2.0-14+deb12u1
librav1e0:amd64 0.5.1-6
libreadline8:amd64 8.2-1.3
librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2:amd64 2.1.28+dfsg-10
libsasl2-modules:amd64 2.1.28+dfsg-10
libsasl2-modules-db:amd64 2.1.28+dfsg-10
libseccomp2:amd64 2.5.4-1+deb12u1
libselinux1:amd64 3.4-1+b6
libsemanage-common 3.4-1
libsemanage2:amd64 3.4-1+b5
libsepol2:amd64 3.4-2.1
libslang2:amd64 2.3.3-3
libsmartcols1:amd64 2.38.1-5+deb12u1
libsqlite3-0:amd64 3.40.1-2
libss2:amd64 1.47.0-2
libssh2-1:amd64 1.10.0-3+b1
libssl3:amd64 3.0.17-1~deb12u3
libstdc++-12-dev:amd64 12.2.0-14+deb12u1
libstdc++6:amd64 12.2.0-14+deb12u1
libsub-override-perl 0.09-4
libsvtav1enc1:amd64 1.4.1+dfsg-1
libsystemd-shared:amd64 252.30-1~deb12u2
libsystemd0:amd64 252.30-1~deb12u2
libtasn1-6:amd64 4.19.0-2
libtext-charwidth-perl:amd64 0.04-11
libtext-iconv-perl:amd64 1.7-8
libtext-wrapi18n-perl 0.06-10
libtiff6:amd64 4.5.0-6+deb12u3
libtinfo6:amd64 6.4-4
libtirpc-common 1.3.3+ds-1
libtirpc-dev:amd64 1.3.3+ds-1
libtirpc3:amd64 1.3.3+ds-1
libtool 2.4.7-7~deb12u1
libtsan2:amd64 12.2.0-14+deb12u1
libubsan1:amd64 12.2.0-14+deb12u1
libuchardet0:amd64 0.0.7-1
libudev1:amd64 252.30-1~deb12u2
libunistring2:amd64 1.0-2
libusb-1.0-0:amd64 2:1.0.26-1
libuuid1:amd64 2.38.1-5+deb12u1
libuv1:amd64 1.44.2-1+deb12u1
libwebp7:amd64 1.2.4-0.2+deb12u1
libwrap0:amd64 7.6.q-32
libx11-6:amd64 2:1.8.4-2+deb12u2
libx11-data 2:1.8.4-2+deb12u2
libx265-199:amd64 3.5-2+b1
libxau6:amd64 1:1.0.9-1
libxcb1:amd64 1.15-1
libxdmcp6:amd64 1:1.1.2-3
libxext6:amd64 2:1.3.4-1+b1
libxml2:amd64 2.9.14+dfsg-1.3~deb12u1
libxmuu1:amd64 2:1.1.3-3
libxpm4:amd64 1:3.5.12-1.1+deb12u1
libxtables12:amd64 1.8.9-2
libxxhash0:amd64 0.8.1-1
libyuv0:amd64 0.0~git20230123.b2528b0-1
libzstd1:amd64 1.5.4+dfsg2-5
linux-base 4.9
linux-image-6.1.0-25-amd64 6.1.106-3
linux-image-amd64 6.1.106-3
linux-libc-dev:amd64 6.1.158-1
locales 2.36-9+deb12u13
login 1:4.13+dfsg1-1+b1
logrotate 3.21.0-1
logsave 1.47.0-2
lsb-release 12.0-1
lsof 4.95.0-1
m4 1.4.19-3
mailcap 3.70+nmu1
make 4.3-4.1
man-db 2.11.2-2
manpages 6.03-2
manpages-dev 6.03-2
mawk 1.3.4.20200120-3.1
media-types 10.0.0
mime-support 3.66
mount 2.38.1-5+deb12u1
mueller7-dict 2002.02.27-13
nano 7.2-1+deb12u1
ncurses-base 6.4-4
ncurses-bin 6.4-4
ncurses-term 6.4-4
netbase 6.4
netcat-traditional 1.10-47
nftables 1.0.6-2+deb12u2
openssh-client 1:9.2p1-2+deb12u7
openssh-server 1:9.2p1-2+deb12u7
openssh-sftp-server 1:9.2p1-2+deb12u7
openssl 3.0.17-1~deb12u3
os-prober 1.81
passwd 1:4.13+dfsg1-1+b1
patch 2.7.6-7
pci.ids 0.0~2023.04.11-1
pciutils 1:3.9.0-4
perl 5.36.0-7+deb12u1
perl-base 5.36.0-7+deb12u1
perl-modules-5.36 5.36.0-7+deb12u1
pinentry-curses 1.2.1-1
po-debconf 1.0.21+nmu1
powertop 2.14-1+b2
procps 2:4.0.2-3
publicsuffix 20230209.2326-1
python-apt-common 2.6.0
python3 3.11.2-1+b1
python3-apt 2.6.0
python3-certifi 2022.9.24-1
python3-chardet 5.1.0+dfsg-2
python3-charset-normalizer 3.0.1-2
python3-debconf 1.5.82
python3-debian 0.1.49
python3-debianbts 4.0.1
python3-httplib2 0.20.4-3
python3-idna 3.3-1+deb12u1
python3-minimal 3.11.2-1+b1
python3-pkg-resources 66.1.1-1
python3-pycurl 7.45.2-3
python3-pyparsing 3.0.9-1
python3-pysimplesoap 1.16.2-5
python3-reportbug 12.0.0
python3-requests 2.28.1+dfsg-1
python3-six 1.16.0-4
python3-urllib3 1.26.12-1
python3.11 3.11.2-6+deb12u3
python3.11-minimal 3.11.2-6+deb12u3
re 0.1-7+b1
readline-common 8.2-1.3
reportbug 12.0.0
rpcsvc-proto 1.4.3-1
runit-helper 2.15.2
sed 4.9-1
sensible-utils 0.0.17+nmu1
shared-mime-info 2.2-1
sudo 1.9.13p3-1+deb12u2
systemd 252.30-1~deb12u2
systemd-sysv 252.30-1~deb12u2
systemd-timesyncd 252.30-1~deb12u2
sysvinit-utils 3.06-4
tar 1.34+dfsg-1.2+deb12u1
task-cyrillic 3.73
task-laptop 3.73
task-russian 3.73
task-ssh-server 3.73
tasksel 3.73
tasksel-data 3.73
traceroute 1:2.1.2-1
tzdata 2024a-0+deb12u1
ucf 3.0043+nmu1
udev 252.30-1~deb12u2
usbutils 1:014-1+deb12u1
usr-is-merged 37~deb12u1
util-linux 2.38.1-5+deb12u1
util-linux-extra 2.38.1-5+deb12u1
vim-common 2:9.0.1378-2
vim-tiny 2:9.0.1378-2
wamerican 2020.12.07-2
wget 1.21.3-1+b2
whiptail 0.52.23-1+b1
wireless-regdb 2022.06.06-1
wireless-tools 30~pre9-14
wpasupplicant 2:2.10-12+deb12u2
xauth 1:1.1.2-1
xdg-user-dirs 0.18-1
xkb-data 2.35.1-1
xz-utils 5.4.1-0.2
zlib1g:amd64 1:1.2.13.dfsg-1
zstd 1.5.4+dfsg2-5
